scenario,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
accountant:know,positive-past,-0.781677037021797,-0.5546008994201,-0.435912016727312,-0.31578489644127,-0.0842856303044242,-0.43501845569054937,0.17786218530292172
accountant:know,positive-future,-0.27401983212343606,-0.07190610415991794,0.01954270457895499,0.115323956675971,0.33334395485190094,0.02293174382903554,0.15114371256792491
accountant:know,negative-past,-0.6726957579923281,-0.2915925088935648,-0.10206074291310696,0.08814787390773604,0.44805516747892205,-0.10387021420494966,0.28513295632882185
accountant:know,negative-future,-0.7219082387729809,-0.35955996479113983,-0.17341488430389101,0.01021923588791196,0.35836799169462397,-0.17587986721640572,0.275313406834837
actor:hate,positive-past,-0.30495272560882897,-0.073902983185977,0.0507360960860047,0.17607676538673603,0.4189122230054221,0.05161955144561033,0.18673409310835126
actor:hate,positive-future,-0.4114600093437129,-0.158025856569738,-0.05093553061603041,0.042544156693928,0.2398089723407656,-0.06219475707059496,0.16217899904894303
actor:hate,negative-past,-0.44329932086712515,-0.062108782231389964,0.13954320627715522,0.342169148551899,0.7357912215104795,0.14147337789354283,0.29974959929428235
actor:hate,negative-future,-0.28905764079316004,0.062104707395644096,0.24567549957825788,0.43265137013721394,0.7902599668054618,0.24867051350948585,0.2756091105390497
analyst:notify,positive-past,-0.976332641202272,-0.7408072906263791,-0.618309854430018,-0.49727716723414206,-0.264445700637215,-0.6194696224917352,0.18079427474098464
analyst:notify,positive-future,-0.39104779453082605,-0.15637901811067395,-0.051823738539881065,0.043480367946894916,0.2471044339051639,-0.058459863975352196,0.15916881170048117
analyst:notify,negative-past,-0.4871339185918556,-0.12182860851188504,0.0732828054337149,0.26929253837046696,0.6513471484823579,0.07494883692801313,0.2913216849101732
analyst:notify,negative-future,-0.670461252275135,-0.31315468921537803,-0.12710838737469188,0.05277801497273499,0.4200786619712159,-0.12778713391611426,0.27604958007206787
assistant:wish,positive-past,-0.3982860733572,-0.154908899047311,-0.0313434376369159,0.09211195003585199,0.334564816460083,-0.031225848672819037,0.18580856390191103
assistant:wish,positive-future,-0.330805227566512,-0.097992718508205,0.002653255710073049,0.09887714835042505,0.30282113071882083,-0.001879570080595578,0.15770549104246592
assistant:wish,negative-past,-0.975635382345159,-0.608067078589299,-0.4120392836165943,-0.21386044237694102,0.14892632088470795,-0.4127069262848697,0.28999120505242093
assistant:wish,negative-future,-0.9599815903436502,-0.594740582200949,-0.40426913282753724,-0.218481495033306,0.1319461116420301,-0.4075845496243401,0.27856952639499644
baker:know,positive-past,1.17152401303305,1.3965544525818798,1.51713039620328,1.6373986650464698,1.8744106814305201,1.5180640221147164,0.1795451299637673
