"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
accountant-know,121.220067762857,3.70196236167006,-242.440135525714,23.7141289035095,0.877952532307884,47.4282578070189
actor-hate,69.4994876679796,3.62286317244433,-138.998975335959,20.0794133615415,1.20336416551495,40.1588267230831
analyst-notify,74.2626625565996,5.51338450805799,-148.525325113199,20.8416063825555,2.05907934957937,41.6832127651109
assistant-wish,-6.98179032914164,1.91521305567924,13.9635806582833,2.85836101516876,0.41342200154208,5.71672203033752
baker-know,73.1969062560159,4.29948413107016,-146.393812512032,22.7693897919697,2.73919363108523,45.5387795839394
basketball player-hate,85.3027515044076,3.80442787756882,-170.605503008815,22.5085942733125,1.50778616433753,45.017188546625
batter-worry,7.58599630099559,3.45241123838534,-15.1719926019912,8.75963061927308,1.92223735829679,17.5192612385462
bookkeeper-lie,74.6426951505403,7.29000382241956,-149.285390301081,19.2081568767756,2.68214679734477,38.4163137535512
boss-tell,71.1076708922901,4.12963868156213,-142.21534178458,20.2200030551218,1.6751504067287,40.4400061102437
bouncer-dissuade,30.3932486987341,10.5291076782456,-60.7864973974683,16.8597777734421,3.31529778200109,33.7195555468842
bricklayer-complain,71.6814661977352,5.90276666745785,-143.36293239547,18.1016480249045,1.79626964343858,36.203296049809
businesswoman-boast,96.6626160606111,4.49787089878145,-193.325232121222,21.8320576538685,1.26644725792935,43.664115307737
chef-love,72.1089979677296,3.4673848840984,-144.217995935459,19.4975725778882,1.09486437708625,38.9951451557765
chemist-lie,47.067086097995,5.57701549765768,-94.1341721959899,19.3376277786551,1.68471495738964,38.6752555573103
child-apologize,27.7707557747696,1.88978520269156,-55.5415115495393,13.7343678839117,0.443158927845716,27.4687357678234
clerk-apologize,44.1645350226262,3.29721292849137,-88.3290700452524,16.7140029910379,0.736544913371022,33.4280059820759
climber-like,77.6600870871547,5.42117172235362,-155.320174174309,20.3641383501306,2.29140246123725,40.7282767002611
coach-congratulate,29.015036749738,2.43626127272358,-58.0300734994759,13.1431422782141,0.597603566711805,26.2862845564282
concierge-convince,73.4956445047607,4.27721995887521,-146.991289009521,21.1048378206675,1.24717214009727,42.2096756413349
conductor-congratulate,42.4905822120487,1.27063924879284,-84.9811644240973,16.3773682382198,0.286683566258912,32.7547364764397
congresswoman-regret,98.9378684578403,3.35538689654734,-197.875736915681,22.8263606853984,0.757677905689275,45.6527213707968
contractor-mislead,29.9069983645292,9.94158966485069,-59.8139967290584,13.0633881210726,2.60312896485003,26.1267762421452
coroner-persuade,32.6826037998842,3.11517021681209,-65.3652075997684,14.5003246709086,0.918864825693256,29.0006493418171
curator-like,85.5836489730587,3.2966933910447,-171.167297946117,23.1240783115684,0.630349491380873,46.2481566231367
cyclist-think,45.2331606272335,4.10791598973551,-90.466321254467,17.5008669541936,1.76689541132801,35.0017339083871
dancer-boast,76.5018460741452,3.63397709169676,-153.00369214829,20.8067429419935,1.09653023738883,41.6134858839869
daughter-convince,57.9870833792431,4.00732770209269,-115.974166758486,18.6327644549117,1.34917075666035,37.2655289098234
