"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
apologize,100.818930727639,10.3059145342241,-201.637861455278,28.4777737624949,1.2985031123086,56.9555475249899
boast,292.194154600693,15.3921339291498,-584.388309201387,40.6664469851542,2.61408828076187,81.3328939703083
complain,229.281668121345,19.4522022321236,-458.56333624269,35.5328303587155,3.72943808238637,71.0656607174311
congratulate,146.467818622827,9.59825739099294,-292.935637245655,30.5515526775747,1.32477951708818,61.1031053551494
convince,211.504742911233,14.3174371661543,-423.009485822467,37.2989307555142,2.307156037498,74.5978615110284
disprove,143.703883108351,24.0742076732073,-287.407766216702,30.0717917095682,4.47232381630442,60.1435834191364
dissuade,109.539935240146,29.7164949538261,-219.079870480291,29.2033083595195,4.62922540290012,58.4066167190389
doubt,372.182104580344,10.9371984057566,-744.364209160689,43.6287103034535,2.02045182359801,87.2574206069069
fear,185.897299477318,18.5078825490007,-371.794598954635,32.3050343845013,3.47272222661039,64.6100687690027
hate,319.501981244292,16.2195261900543,-639.003962488584,42.4848283161783,2.54459657800046,84.9696566323565
hope,6.32577183879977,18.7222590419059,-12.6515436775995,15.4160415341311,6.05545450701714,30.8320830682622
know,385.009563677228,13.0401573793788,-770.019127354457,46.0464875076596,2.99163303065363,92.0929750153191
lie,238.314455829454,29.8942859377292,-476.628911658908,38.3970899881857,5.15803509186446,76.7941799763714
like,338.574534420491,16.8047581124836,-677.149068840982,43.9955677989309,2.95230515998948,87.9911355978618
love,274.84078870745,11.5809483724149,-549.681577414899,40.3392866298695,1.78038436943069,80.678573259739
mislead,156.294842080043,32.684664672853,-312.589684160087,31.5831257123952,4.82901921704571,63.1662514247903
notify,277.346011142025,20.2741942103647,-554.69202228405,40.2064007871936,4.35791863150537,80.4128015743872
persuade,178.050548470933,15.3679606028648,-356.101096941866,35.3524673910674,2.5057046276969,70.7049347821348
regret,306.702582903078,16.0664702687573,-613.405165806156,42.3171993437184,2.66660785401158,84.6343986874367
remember,316.172710191342,14.0622464917887,-632.345420382683,41.1361995802834,2.44947940384606,82.2723991605669
tell,275.684004117068,27.4804299802433,-551.368008234135,40.6977296347944,7.07758023297458,81.3954592695888
think,402.220898902991,10.5892640464105,-804.441797805981,43.3665310093445,2.07281630050089,86.7330620186891
wish,7.58529250302833,10.3307497617796,-15.1705850060567,14.9853029291316,2.40805142528024,29.9706058582633
worry,142.543660894445,17.3240557265244,-285.08732178889,29.5855799612057,3.22993583650482,59.1711599224115
