"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
accountant-know,0.0200134906035241,0.494455983818043,-0.0400269812070483,1.65448567478278,0.147214696764862,3.30897134956556
actor-hate,-1.43817555611025,0.27252118835936,2.8763511122205,1.29029272747428,0.0197460120014666,2.58058545494856
analyst-notify,-0.0272150315188936,2.45780901932345,0.0544300630377872,1.80948361753289,2.23079657157452,3.61896723506579
assistant-wish,-4.64314964874046,0.279752511838118,9.28629929748093,1.20840594798498,0.0290506087686759,2.41681189596996
baker-know,73.3770285755538,2.31463838150249,-146.754057151108,15.6181191785935,1.17977310729749,31.236238357187
basketball player-hate,65.882256092969,1.5283797352728,-131.764512185938,17.0829349573327,0.600048112931814,34.1658699146655
batter-worry,3.07061824403466,0.557323316203361,-6.14123648806933,5.88953147233588,0.271215823126053,11.7790629446718
bookkeeper-lie,25.4166648479635,3.11345700800438,-50.8333296959269,10.5429480094764,2.01210769597188,21.0858960189529
boss-tell,4.41433505303756,0.919473558212761,-8.82867010607511,4.1928750610088,0.676064938168069,8.3857501220176
bouncer-dissuade,93.5945632066321,1.93453425329828,-187.189126413264,17.7616334283308,0.782269008466064,35.5232668566615
bricklayer-complain,37.6023644957163,6.7164437339773,-75.2047289914327,14.3952555587077,3.50342215898662,28.7905111174154
businesswoman-boast,2.79440765308334,0.298498730512644,-5.58881530616667,2.06602468972959,0.043394371412469,4.13204937945919
chef-love,47.9101891441028,1.52043678852824,-95.8203782882056,14.5448202101611,1.07241411028042,29.0896404203222
chemist-lie,9.51189546157869,1.25946648890756,-19.0237909231574,8.48111280793391,0.365702153636494,16.9622256158678
child-apologize,17.146347990889,1.15110545491283,-34.292695981778,7.7399240625702,0.742259794338693,15.4798481251404
clerk-apologize,3.62730236017579,0.332393233224328,-7.25460472035157,1.46705769162115,0.0551199391001036,2.9341153832423
climber-like,0.85061523510845,3.52692576084292,-1.7012304702169,5.71944275799664,2.15179050532289,11.4388855159933
coach-congratulate,4.45243501033076,0.541391736655207,-8.90487002066152,6.40356921679964,0.227044806043248,12.8071384335993
concierge-convince,7.26103203347958,1.33613233402723,-14.5220640669592,4.0573837643729,1.07511728447178,8.1147675287458
conductor-congratulate,3.85416603753003,0.222491702884192,-7.70833207506006,1.25663218431474,0.0222249071104254,2.51326436862948
congresswoman-regret,4.27784582171646,0.358875746392692,-8.55569164343293,6.86740574741824,0.125930732737008,13.7348114948365
contractor-mislead,-0.845789290424383,0.384127090616898,1.69157858084877,0.908604947206263,0.0904057145327911,1.81720989441253
coroner-persuade,9.20253451544246,4.25409091523798,-18.4050690308849,7.03656514471182,1.89444986481652,14.0731302894236
curator-like,22.8147744089258,2.8582663814041,-45.6295488178516,9.84531259985847,1.6681111445992,19.6906251997169
cyclist-think,10.4137037771956,1.3208780019651,-20.8274075543912,8.59560256065906,0.756370337271165,17.1912051213181
dancer-boast,-2.16142047003409,0.278219347113775,4.32284094006819,1.48094659198953,0.0234868345687446,2.96189318397907
daughter-convince,7.30571499905549,0.487410570832976,-14.611429998111,6.88369470675136,0.169099946145052,13.7673894135027
defendant-hope,15.6702490818408,3.02125014023776,-31.3404981636817,10.2628926872047,1.61470843341305,20.5257853744094
deliveryman-regret,24.3174689359525,1.76391026284664,-48.634937871905,11.2269052482226,1.10214738800658,22.4538104964453
detective-disprove,12.8851186720772,2.40889983198842,-25.7702373441545,9.47797035271734,1.30334246067252,18.9559407054347
director-congratulate,24.1508322670404,1.4476128746022,-48.3016645340807,9.48156193185073,0.74662126910414,18.9631238637015
dishwasher-complain,22.8584362684321,3.52426936444267,-45.7168725368643,11.4232060988944,1.57413496745792,22.8464121977888
diver-fear,27.6307588603609,7.1801993080371,-55.2615177207218,13.640278583283,3.4947072285553,27.280557166566
doctor-think,0.436243670046676,0.994458001656295,-0.872487340093351,4.51060360945168,0.599998441593867,9.02120721890336
driver-regret,12.2543354164186,2.09232942487561,-24.5086708328371,8.03300435261176,0.871751828147907,16.0660087052235
economist-mislead,5.53235836521169,0.598790411837414,-11.0647167304234,6.33686696419704,0.2351516561516,12.6737339283941
electrician-disprove,15.0899047402373,1.60151394558388,-30.1798094804747,7.45757255348126,1.16650776802021,14.9151451069625
engineer-persuade,4.68182390548264,0.79464411477286,-9.36364781096527,5.26957277758585,0.529939265005046,10.5391455551717
executive-know,20.6507368283979,0.75999909121,-41.3014736567958,10.865528508193,0.315414418903396,21.731057016386
farmer-persuade,20.1397651372415,0.693372409335024,-40.2795302744831,11.4016696746517,0.230897244825357,22.8033393493035
filmmaker-lie,2.77167691886927,1.22417991649815,-5.54335383773854,3.59725599739969,0.78819070991898,7.19451199479939
fire fighter-boast,23.7654223461804,0.766222431847418,-47.5308446923609,11.1466012965375,0.229000991510536,22.2932025930751
fisherman-love,0.343059845263361,1.26265863297347,-0.686119690526722,4.44524550664195,0.562836849474629,8.8904910132839
gambler-like,11.3445125412616,2.08427137921762,-22.6890250825232,7.98500960540109,1.20818263371236,15.9700192108022
gardener-remember,-1.04154195280966,0.646164068546335,2.08308390561933,1.61474101664151,0.324694406489041,3.22948203328301
guitarist-worry,23.8950947836931,1.83055668192973,-47.7901895673862,10.7496157157867,0.754354255281724,21.4992314315734
hacker-boast,-3.80138941018606,0.437260636730566,7.60277882037211,1.12643516211436,0.173418141250385,2.25287032422873
hiker-remember,10.1803377079258,2.69291938420378,-20.3606754158517,6.96368086685062,1.18531330242029,13.9273617337012
homeowner-hate,27.5590716836568,1.91517953999681,-55.1181433673137,8.61202760427477,1.11504592865135,17.2240552085495
inspector-convince,47.6965352009248,3.22916551813809,-95.3930704018497,16.1664091431692,1.27770164576648,32.3328182863384
jeweler-remember,1.56453095375058,0.520185890237529,-3.12906190750117,6.27537922266866,0.233146094351879,12.5507584453373
journalist-worry,9.21405961215259,0.365653398253113,-18.4281192243052,7.07734635481693,0.0969372057850772,14.1546927096339
landlord-hope,16.4373135207627,0.515238357800658,-32.8746270415254,9.37068156911792,0.170608629806723,18.7413631382358
lawyer-disprove,-3.95521460657423,0.260818981404998,7.91042921314845,1.28969963268886,0.028767097860196,2.57939926537772
liquor store owner-tell,62.4511524583203,5.26832515886522,-124.902304916641,16.6815839788996,2.48419106931233,33.3631679577991
literary agent-mislead,-1.80833101543911,1.31008928899959,3.61666203087821,3.78371893743678,0.904047578226673,7.56743787487357
little girl-fear,4.2925791012668,1.7183628223256,-8.58515820253359,3.04558535133615,1.43638050602646,6.0911707026723
mechanic-notify,0.29007683136226,1.69907246227589,-0.58015366272452,4.59158011854655,0.88001276796453,9.18316023709311
model-complain,5.83423139819025,2.32941856116735,-11.6684627963805,5.8586076061178,1.67700524970716,11.7172152122356
moderator-congratulate,10.1820268271548,0.548462421993859,-20.3640536543096,9.16622188947508,0.230814461483321,18.3324437789502
