"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
apologize,117.500167329936,9.97437971945769,-235.000334659872,28.6170632620835,2.05397884403306,57.2341265241669
boast,289.684167693889,9.28569161542636,-579.368335387777,39.3583310955704,2.00534892710508,78.7166621911408
complain,240.462221940919,8.64948600728517,-480.924443881837,38.1788811968718,1.83247272704296,76.3577623937436
congratulate,151.984630812196,6.90667294507755,-303.969261624391,31.7141690895307,1.27496337815232,63.4283381790614
convince,227.932578254193,12.7399025189528,-455.865156508386,36.1392182116464,2.55084962098246,72.2784364232929
disprove,77.6005584563843,15.8241517878059,-155.201116912769,23.9454003648414,3.25393500185434,47.8908007296829
dissuade,103.942401534791,12.810791628794,-207.884803069582,26.7618451866995,3.18380014872942,53.5236903733991
doubt,332.972801858736,8.36708513790048,-665.945603717472,39.540075128913,1.42532630298043,79.0801502578259
fear,71.8146925890568,10.1740655660964,-143.629385178114,23.8922367316906,2.96241581413256,47.7844734633812
hate,302.94706541502,9.68531515069015,-605.89413083004,41.9080500183027,2.98081835504643,83.8161000366054
hope,10.6386336567014,5.31133052178425,-21.2772673134027,14.9201164272042,1.37849782427783,29.8402328544084
know,531.047566829863,11.23242407802,-1062.09513365973,46.6684962136415,2.90355281024926,93.336992427283
lie,216.424577226363,26.6859099310014,-432.849154452726,41.5769613456409,9.72151600080921,83.1539226912817
like,323.554057696873,10.2100469880523,-647.108115393746,42.4325675182592,1.51485374759232,84.8651350365184
love,376.300585796475,8.17757205562178,-752.601171592951,44.169284139071,1.36264704145393,88.338568278142
mislead,127.184332440727,24.0094593963777,-254.368664881453,29.1633191900908,5.80404412774709,58.3266383801816
notify,267.924973000947,9.99161457768434,-535.849946001895,39.9449656836048,1.77155800791966,79.8899313672096
persuade,98.1545678275335,12.1104243151231,-196.309135655067,27.593997419633,3.15119510126738,55.187994839266
regret,300.150149956515,9.63390323935116,-600.300299913031,40.6522677419571,3.16565614905938,81.3045354839143
remember,289.186639887219,6.22845021682538,-578.373279774437,40.994338428932,1.19691511154132,81.9886768578639
tell,218.721682748771,8.92700048597693,-437.443365497542,35.9071467087655,1.38708368396004,71.8142934175311
think,430.966596055428,8.16995901882249,-861.933192110855,43.445125101992,1.25049322916481,86.890250203984
wish,65.8226093427316,11.290411973032,-131.645218685463,22.8517386903026,2.79757062239326,45.7034773806051
worry,101.785088429819,6.06965974713294,-203.570176859638,26.6539136825365,1.16909428550603,53.3078273650731
