"verb","polarity","tense","best_model","elpd_diff","se_elpd_diff"
"worry","positive","past","slopes","-11.5464954145458","2.68317337937825"
"worry","positive","future","slopes","-4.94526083649789","2.41596669854953"
"worry","negative","past","slopes","-0.523092737342328","2.97383968686687"
"worry","negative","future","slopes","-7.93838573000309","2.69006442633333"
"wish","positive","past","intercepts","-2.05873232605006","1.55090702188266"
"wish","positive","future","slopes","-2.63187690316542","0.463675266260639"
"wish","negative","past","slopes","-2.65285990301954","1.44609195783825"
"wish","negative","future","slopes","-2.72240886212053","0.810896343790214"
"think","positive","past","intercepts","-0.473167519273973","0.802993290433697"
"think","positive","future","slopes","-0.428914607427276","0.532930819862714"
"think","negative","past","intercepts","-0.206638228502499","0.978836981641602"
"think","negative","future","intercepts","-0.852096645411166","1.73256557123185"
"tell","positive","past","intercepts","-0.0965321819974237","1.78230057900874"
"tell","positive","future","slopes","-3.3801846207561","2.01630409197902"
"tell","negative","past","slopes","-1.35336678924396","4.12547524749817"
"tell","negative","future","slopes","-4.26539933369499","4.0588008967452"
"remember","positive","past","intercepts","-1.29813553175217","0.835479350050391"
"remember","positive","future","slopes","-1.13672673851475","1.10574192702846"
"remember","negative","past","intercepts","-2.61253584577878","2.79020469893788"
"remember","negative","future","slopes","-2.66300706372808","2.21376667818733"
"regret","positive","past","intercepts","-1.53901361722947","1.64539117665688"
"regret","positive","future","intercepts","-0.786628814518825","2.34011746323409"
"regret","negative","past","slopes","-2.17396293397947","1.59358953838407"
"regret","negative","future","slopes","-0.422242916930882","0.769156450786825"
"persuade","positive","past","slopes","-0.657020629433389","1.41720434671852"
"persuade","positive","future","slopes","-0.267634965525396","2.43097787216635"
"persuade","negative","past","slopes","-1.14823167446419","2.05309245281619"
"persuade","negative","future","intercepts","-0.56264470946811","0.744045653182209"
"notify","positive","past","slopes","-1.02246825167465","1.3262726981654"
"notify","positive","future","intercepts","-1.78739094389986","1.25222930997645"
"notify","negative","past","intercepts","-3.10791539941376","3.24327871166038"
"notify","negative","future","slopes","-0.931827380569958","1.45785884390079"
"mislead","positive","past","intercepts","-0.483516345581026","3.53370796972294"
"mislead","positive","future","intercepts","-4.47910546723332","4.06849309898511"
"mislead","negative","past","intercepts","-4.83155141128325","2.7445505593135"
"mislead","negative","future","intercepts","-0.468322775762213","2.43390871583434"
"love","positive","past","slopes","-1.2103278387866","0.962203612408485"
"love","positive","future","slopes","-1.84081561338097","1.3733670644678"
"love","negative","past","slopes","-5.43840948466796","2.29018590994645"
"love","negative","future","slopes","-3.17323345848721","2.44308674758837"
"like","positive","past","slopes","-4.0738895798851","1.38572240316962"
"like","positive","future","slopes","-0.0452326124989194","1.5231293811741"
"like","negative","past","intercepts","-4.54814582912142","2.5386216990724"
"like","negative","future","slopes","-2.83567099103718","3.22812858117351"
"lie","positive","past","intercepts","-1.85703588064616","3.02036480616639"
"lie","positive","future","slopes","-0.827447955433622","2.27737022922552"
"lie","negative","past","intercepts","-4.82123833799966","3.13059765548644"
"lie","negative","future","slopes","-1.1205917322026","0.699761881760329"
"know","positive","past","slopes","-6.23012164771809","2.40087040090915"
"know","positive","future","slopes","-5.04849420609957","2.36768286959985"
"know","negative","past","slopes","-0.231333087844243","1.42231960883147"
"know","negative","future","slopes","-1.0507852578409","1.9562722397359"
"hope","positive","past","slopes","-2.48826004733804","0.689781409514847"
"hope","positive","future","slopes","-0.114433268631627","3.2170488868392"
"hope","negative","past","slopes","-2.59579284328744","2.05676224686074"
"hope","negative","future","slopes","-0.826184851147808","0.649909239969589"
"hate","positive","past","intercepts","-0.180889710145454","2.40659654541536"
"hate","positive","future","slopes","-3.93921586117492","2.89620825244704"
"hate","negative","past","slopes","-2.01897407852338","2.25334091096885"
"hate","negative","future","slopes","-0.800056028967721","1.16583779644572"
"fear","positive","past","slopes","-12.1267134928991","3.2310857491185"
"fear","positive","future","slopes","-8.43151496987084","3.3261572714804"
"fear","negative","past","slopes","-13.7308981675918","6.61156420476552"
"fear","negative","future","slopes","-2.97664131291521","1.89381547739252"
"doubt","positive","past","slopes","-3.51543606981452","1.93778647486167"
"doubt","positive","future","slopes","-5.44986169051816","1.25245234003604"
"doubt","negative","past","slopes","-0.220071594320181","1.04483616248572"
"doubt","negative","future","intercepts","-1.2681284020023","1.63701657053741"
"dissuade","positive","past","slopes","-7.68824297436074","4.40901769800253"
"dissuade","positive","future","slopes","-1.98115378348856","8.89388009551115"
"dissuade","negative","past","intercepts","-3.69283975452606","1.9882319993497"
"dissuade","negative","future","intercepts","-1.03405654014723","1.70008661187073"
"disprove","positive","past","slopes","-1.50957299788702","3.93298054630919"
"disprove","positive","future","intercepts","-4.96926955746958","2.36678494974409"
"disprove","negative","past","slopes","-0.563276643575356","1.46978998680826"
"disprove","negative","future","intercepts","-0.608635491519057","1.61104756544359"
"convince","positive","past","slopes","-2.12234239806927","1.46150018891318"
"convince","positive","future","intercepts","-1.4176436191787","1.74437913773375"
"convince","negative","past","slopes","-1.37677297145918","1.10961687035304"
"convince","negative","future","slopes","-0.308737949947941","1.86893331506838"
"congratulate","positive","past","intercepts","-0.826061381635377","0.507340340852153"
"congratulate","positive","future","intercepts","-0.892135995698641","0.973798775918536"
"congratulate","negative","past","slopes","-7.31714841930726","2.75217911303024"
"congratulate","negative","future","slopes","-3.26377744897933","1.41771787697107"
"complain","positive","past","slopes","-4.62376199807481","2.21302480291961"
"complain","positive","future","slopes","-0.394343795774948","2.23455105158667"
"complain","negative","past","slopes","-0.104127931158078","2.05674481531944"
"complain","negative","future","intercepts","-0.0409658764063513","2.50312660072673"
"boast","positive","past","intercepts","-0.211047934085052","0.708031963349518"
"boast","positive","future","slopes","-0.825127629579364","0.609656330291853"
"boast","negative","past","slopes","-1.43540232672972","3.68046346320489"
"boast","negative","future","slopes","-0.34593005901715","1.8987557547167"
"apologize","positive","past","slopes","-3.47307901887423","3.37398233913337"
"apologize","positive","future","slopes","-7.34155822488311","2.65571546572486"
"apologize","negative","past","slopes","-1.71090556282167","1.19311020967161"
"apologize","negative","future","slopes","-1.18244595693996","0.578772039337314"
