"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[1,1]",-0.435018455690549,0.000897113227338083,0.177865890880915,-0.781679543144577,-0.554617567588504,-0.43591586692664,-0.315813082473341,-0.0844245729775346,39308.8939166665,0.999919759227588,"accountant-know"
"B_s[1,2]",0.0516195514456103,0.000975672739721108,0.186737983523534,-0.304952810293247,-0.0739059355106891,0.0507132472884725,0.176072107705183,0.418824713933531,36631.6927305147,0.999945117068689,"actor-hate"
"B_s[1,3]",-0.619469622491735,0.000931635186357979,0.180798041406084,-0.976349840275801,-0.740807320813236,-0.618310547065802,-0.497279864843306,-0.264512586945983,37661.3321131108,1.00008826603282,"analyst-notify"
"B_s[1,4]",-0.031225848672819,0.000956877986868399,0.185812435034632,-0.398287748060055,-0.154920437314881,-0.0313580691833324,0.0921011576633722,0.334413811320576,37708.253848422,0.99988683073529,"assistant-wish"
"B_s[1,5]",1.51806402211472,0.000873578203772995,0.179548870604204,1.17152083547538,1.39655046039903,1.51712972575646,1.63739745012823,1.87415102086293,42243.6831094253,0.99994112947379,"baker-know"
"B_s[1,6]",1.15041173370224,0.000888490847275709,0.186148781843243,0.787640987055,1.02503285155405,1.14951227603992,1.27687325755995,1.51631745052643,43894.942096108,0.999901709639292,"basketball player-hate"
"B_s[1,7]",-0.00387703238056509,0.000972779364448768,0.190580355776826,-0.37627329175657,-0.131382274844202,-0.00378048822729792,0.123997362835969,0.368226831312812,38381.9970766317,0.999912943293103,"batter-worry"
"B_s[1,8]",1.07895112549679,0.000874601120052132,0.175885121009417,0.735972142398563,0.960290328117462,1.07663833190409,1.19706615846968,1.42646538574456,40442.5140855185,0.999940158707858,"bookkeeper-lie"
"B_s[1,9]",-0.311656827449167,0.000897800249590295,0.176168225561944,-0.655307284331698,-0.430675258379545,-0.311805485783603,-0.193844679966379,0.0358019564861444,38503.1016908747,0.999899294380032,"boss-tell"
"B_s[1,10]",1.70258400189758,0.000809570637473585,0.172344260217653,1.37124070892658,1.58562478159675,1.69964209381427,1.81751734050955,2.04815009250048,45319.4000421249,0.999890735369891,"bouncer-dissuade"
"B_s[1,11]",-0.65273823823642,0.000958231450005925,0.178680079974318,-1.00283143882304,-0.773896532644007,-0.652078861709935,-0.531627849194628,-0.303330332073028,34770.5399596667,0.999940272210251,"bricklayer-complain"
"B_s[1,12]",-0.658490719775628,0.00092495640271544,0.184760545958694,-1.02211985439133,-0.782126280151904,-0.65815031180395,-0.534783656146523,-0.297878897212724,39900.2804070605,0.999888295397665,"businesswoman-boast"
"B_s[1,13]",-1.11735080763745,0.000875544027250805,0.173972359860814,-1.46449648765235,-1.23425430031895,-1.11691382411385,-1.00016321754437,-0.777528101019045,39482.4895962218,0.999885386217163,"chef-love"
"B_s[1,14]",0.100860802983689,0.001035814329643,0.197148840524919,-0.289773119181945,-0.0305102958444668,0.102387640182651,0.233416856308369,0.485453187982283,36226.3538437648,0.99995515507638,"chemist-lie"
"B_s[1,15]",0.74640292705919,0.000913649372883781,0.185263476725421,0.384058007068747,0.62299277084043,0.744936638905642,0.870305267173353,1.11102166974672,41116.912804762,0.999985567981143,"child-apologize"
"B_s[1,16]",-0.310757519909488,0.000910580315249725,0.179239263065582,-0.658827320194193,-0.432481765165091,-0.310338009362083,-0.19061514607429,0.0403765577328303,38746.2596224853,0.999875026246763,"clerk-apologize"
"B_s[1,17]",0.0585916642041151,0.000997722352758692,0.189124206564329,-0.308439240112075,-0.0679505280835787,0.0581375175230506,0.184048547056382,0.429703802732869,35931.4574777942,0.999944333732122,"climber-like"
"B_s[1,18]",-0.473293523364871,0.000898374324347287,0.182143872872159,-0.832767701042682,-0.596057303390855,-0.473667827028579,-0.350236041219634,-0.113562566398776,41106.8757920778,0.999891478707023,"coach-congratulate"
"B_s[1,19]",0.688155869330673,0.000922683441160817,0.186159596664478,0.325843149394911,0.561729256925859,0.687305988333095,0.813316268097461,1.05754922262768,40706.6539599707,0.999939895448603,"concierge-convince"
"B_s[1,20]",0.395101775646491,0.000935512315400107,0.18423815944872,0.0363144848223729,0.269972995318452,0.39479163484345,0.518797956037721,0.759354243862379,38784.6748184536,0.999989481573272,"conductor-congratulate"
"B_s[1,21]",0.288727172566516,0.000956879980616991,0.187903620726608,-0.0780134544977807,0.161601989286495,0.287411631825108,0.416302446415766,0.660440509945535,38561.6279452284,0.999903457106625,"congresswoman-regret"
"B_s[1,22]",0.0939265753181891,0.000930758275204674,0.182546255105963,-0.26872776491673,-0.0279506143673428,0.095060598359716,0.215818915050516,0.452036686211927,38465.5585902564,0.999903252409301,"contractor-mislead"
"B_s[1,23]",-0.0735916488833272,0.000997144989063422,0.189142271197752,-0.442427594146481,-0.198678765433004,-0.0742632707744472,0.0527487662337104,0.300228085475079,35979.9517898257,0.99989650335432,"coroner-persuade"
"B_s[1,24]",0.844499326172559,0.000942192835839411,0.18527065478189,0.483469697371458,0.718410146495625,0.843036509273063,0.96698981297251,1.21811068714475,38666.3944887651,1.00007996668519,"curator-like"
"B_s[1,25]",-0.945312053692348,0.000911630608398993,0.186477626522072,-1.31431933341861,-1.06997752803651,-0.946554875214493,-0.819838492178819,-0.584244993302395,41842.3115645007,0.999967326585779,"cyclist-think"
"B_s[1,26]",0.156043211719366,0.000934523477010524,0.185582671851328,-0.203407935671305,0.0311841393467206,0.156624520102817,0.281455924663304,0.51887318397924,39436.1412711623,1.00000202072493,"dancer-boast"
