"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","verb"
"B_v[1,1]",0.240339240375849,0.00533178842588549,0.258077439635462,-0.253230505888418,0.067274057998726,0.235199789528704,0.40772077551259,0.761225777678822,2342.90278060857,1.00108822845099,"apologize"
"B_v[1,2]",1.09868940444745,0.00523406243530736,0.256651786515829,0.608489337990998,0.925009718489815,1.0951380508352,1.26688948878672,1.61278051594412,2404.42251236865,1.00117724052813,"boast"
"B_v[1,3]",1.11182866644932,0.00526368677914806,0.258174432074278,0.615283138345383,0.938510100835286,1.10800533851215,1.2802985613885,1.63258076064932,2405.72723139303,1.00110324505938,"complain"
"B_v[1,4]",0.742645047031681,0.00535303764810813,0.255818087406867,0.254560953256706,0.571050049005255,0.738564935361808,0.909888719153814,1.26405417814508,2283.82014646396,1.00090686969444,"congratulate"
"B_v[1,5]",0.40085714421804,0.00526820552671919,0.254890284177372,-0.0881011352467825,0.226911604174958,0.395819162803198,0.568418023361609,0.912801916833142,2340.89074055968,1.00101773848088,"convince"
"B_v[1,6]",-1.72214765294422,0.00528310455523856,0.258832374218585,-2.22136290223572,-1.89322925335525,-1.72386889491732,-1.55222911796051,-1.20244535658415,2400.26272483721,1.00121069418352,"disprove"
"B_v[1,7]",-1.20687484733135,0.00518640348754543,0.258072010279134,-1.70186319976502,-1.38157999268478,-1.20940784256776,-1.03823443786638,-0.690779071138867,2475.99183597618,1.00116063122358,"dissuade"
"B_v[1,8]",-2.37959286667626,0.00535972033696587,0.25950553305824,-2.88507776257467,-2.55276488089706,-2.38401789141756,-2.20858665749522,-1.86312308954929,2344.2773174397,1.00116426541974,"doubt"
"B_v[1,9]",-0.067477311533815,0.00528568302974747,0.257929401678897,-0.55782084685863,-0.242047792653564,-0.0715937277417541,0.102582183671836,0.448231846394813,2381.21971476355,1.00111396278543,"fear"
"B_v[1,10]",1.021990775305,0.00532956766462569,0.256989165209476,0.53261584731425,0.849071929257512,1.01541658879212,1.18944199469821,1.54395665821259,2325.12157728257,1.00123977727071,"hate"
"B_v[1,11]",-0.521323463921359,0.00519325886666615,0.256663246873796,-1.0180704355503,-0.693003617988099,-0.525301568062867,-0.352936126917478,-0.00418071700032323,2442.57228680094,1.0010453284695,"hope"
"B_v[1,12]",1.40367455813796,0.00528778972294096,0.257801952434931,0.90908556387893,1.23117950694262,1.39972972820588,1.57108688713818,1.92389789229383,2376.97192036234,1.00115157607295,"know"
"B_v[1,13]",-2.46514238132303,0.00529689110706906,0.259634115418624,-2.9683122047148,-2.64032969345707,-2.46570314036655,-2.29128848781684,-1.94716408974897,2402.59973571059,1.00096551522406,"lie"
"B_v[1,14]",0.819552375587566,0.0053187544273647,0.257473377067571,0.325443061505699,0.648250769623009,0.815424915562016,0.988286806590281,1.33744388453147,2343.3911249358,1.00105362187263,"like"
"B_v[1,15]",1.11082190728931,0.00522659371781486,0.254517978970392,0.620978720829011,0.939991494473498,1.10535511039546,1.27831929968804,1.61951653258114,2371.37069044465,1.00126119150511,"love"
"B_v[1,16]",-1.59354793179798,0.00523049472398068,0.25999967770369,-2.09274746107284,-1.76900930295814,-1.59573047079059,-1.42310898804738,-1.06853480931015,2470.92795321757,1.00091536640675,"mislead"
"B_v[1,17]",1.14202350558846,0.00532275473149799,0.258258238183271,0.647944511869711,0.967689474866456,1.13760467978441,1.31038780512751,1.66539982998381,2354.15719408025,1.00130578616684,"notify"
"B_v[1,18]",0.189313802479482,0.00529015111580505,0.258483514030393,-0.307964575561449,0.0144568010601637,0.186290449355988,0.357012526532993,0.7082564427374,2387.42392805733,1.00117019949793,"persuade"
"B_v[1,19]",0.856499430265475,0.00528348391105571,0.256354058351357,0.366284715497358,0.684578104228252,0.850270219770836,1.02244715649715,1.37649697388907,2354.17972873745,1.00082613602756,"regret"
"B_v[1,20]",1.12136224261399,0.00538193153176943,0.257320565049043,0.631724229140479,0.94820912308442,1.11727537283143,1.2884993938915,1.64724784376647,2285.98120800089,1.00078056237229,"remember"
"B_v[1,21]",0.848216375626867,0.00526764383922697,0.258410168370522,0.354429456146701,0.673963340435243,0.84487428909624,1.01755042305648,1.37106166201015,2406.50291087261,1.00135498223194,"tell"
"B_v[1,22]",0.886649979701953,0.00530310795802284,0.25550017260725,0.403234407314604,0.714035797734921,0.881186945707842,1.05326657947499,1.40546028832108,2321.24755346838,1.00094213988839,"think"
"B_v[1,23]",-1.30800643530618,0.00524638161637422,0.259264061020836,-1.80496264562718,-1.47960859330199,-1.31242859096616,-1.13843623862988,-0.785973270849113,2442.10809776824,1.00087496674027,"wish"
"B_v[1,24]",-0.0148381842490412,0.00526514205972928,0.259845877698884,-0.513283157265099,-0.191635633277575,-0.0173477978823378,0.152682692466211,0.506379030462893,2435.63090395536,1.00098539142694,"worry"
"B_v[2,1]",-0.141930985000038,0.00657521121691487,0.354159596172533,-0.855541726793928,-0.372566524704629,-0.138291870590879,0.0949183315455072,0.543435142394776,2901.20629355069,1.00097253810713,"apologize"
