"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
accountant-know,45.6086466165481,3.94227337178537,-91.2172932330962,19.1825436544867,0.890072475328973,38.3650873089735
actor-hate,109.794769173031,2.71333893953189,-219.589538346062,22.5813699742546,0.447684729246838,45.1627399485091
analyst-notify,44.8575813197906,4.39712406817462,-89.7151626395813,17.6344606158082,2.01999287128044,35.2689212316163
assistant-wish,114.856732787159,2.93765043615161,-229.713465574317,24.4622518424605,0.844164151669866,48.924503684921
baker-know,83.6895753990368,3.47226691743866,-167.379150798074,22.5542854827856,0.819267544049171,45.1085709655712
basketball player-hate,118.103298387744,5.98570529194749,-236.206596775489,21.3759044186396,1.70490628405725,42.7518088372792
batter-worry,100.353271967657,3.79492344428454,-200.706543935315,23.2428129116646,0.93745286617164,46.4856258233292
bookkeeper-lie,22.3792143110617,6.82374956223434,-44.7584286221233,15.8896308034232,3.03386085799839,31.7792616068465
boss-tell,30.5561841376977,2.73186474284946,-61.1123682753955,12.6945938962846,0.70869412456797,25.3891877925692
bouncer-dissuade,33.2099286492998,10.6558156540531,-66.4198572985996,14.6153374939143,3.77199647945306,29.2306749878286
bricklayer-complain,67.5417733014192,3.79852483457289,-135.083546602838,22.4089852213648,0.693043077613826,44.8179704427296
businesswoman-boast,42.8558013848689,8.02192094689366,-85.7116027697377,14.5642530017282,2.61056711929239,29.1285060034563
chef-love,100.153510670794,6.90645538481168,-200.307021341588,24.4282333522217,4.89576578918382,48.8564667044435
chemist-lie,18.1147770897975,4.32568619268038,-36.229554179595,17.3077991901145,1.47661719730627,34.6155983802291
child-apologize,35.4113631386333,2.21845565056023,-70.8227262772667,15.0993554074758,0.480536228839474,30.1987108149516
clerk-apologize,62.4358740855028,3.73091329953734,-124.871748171006,20.344606553931,1.34590277614266,40.6892131078619
climber-like,87.6619031218603,9.35045338947985,-175.323806243721,24.2675459918529,3.04950157060094,48.5350919837058
coach-congratulate,54.2526603998997,9.19280288679589,-108.505320799799,18.432379520084,2.91455538132772,36.8647590401679
concierge-convince,49.008537380153,3.81368678647243,-98.017074760306,16.5409631848354,0.981738702465548,33.0819263696708
conductor-congratulate,80.5052017787372,2.68678533773957,-161.010403557474,22.6334135727421,0.464276792218821,45.2668271454841
congresswoman-regret,78.9721212690636,6.71630334089442,-157.944242538127,19.6384561319008,2.27048383299474,39.2769122638015
contractor-mislead,45.2889780690516,3.96263137224276,-90.5779561381031,20.192588658681,1.03796920004851,40.385177317362
coroner-persuade,14.9673323775841,5.2934623665933,-29.9346647551682,12.5267673423989,2.77662872169248,25.0535346847979
curator-like,123.831447243706,4.30724442140501,-247.662894487411,24.9651643451378,1.91941254042255,49.9303286902757
cyclist-think,72.6283152093824,5.05477777283733,-145.256630418765,20.9816608707286,1.76367692567116,41.9633217414572
dancer-boast,91.8624635614052,3.90332238630739,-183.72492712281,24.153281998119,0.81365152398457,48.306563996238
daughter-convince,93.335887050472,2.7219352297246,-186.671774100944,22.3148775665377,0.767162816258872,44.6297551330754
defendant-hope,82.0723292632335,5.90747949440341,-164.144658526467,22.3013880508788,1.87432491035294,44.6027761017577
deliveryman-regret,50.2920368150572,4.5273610045638,-100.584073630114,20.6850840054281,1.73254338773263,41.3701680108562
detective-disprove,25.7489184600816,3.60873422197331,-51.4978369201633,14.8191161746181,1.42831994411515,29.6382323492363
director-congratulate,54.5187442799821,7.00611887491815,-109.037488559964,18.3698126121751,2.61931618367442,36.7396252243502
dishwasher-complain,27.1927656587807,17.3136851037002,-54.3855313175615,18.0801149590409,4.75157932653907,36.1602299180818
diver-fear,108.32748097946,4.47083870391534,-216.654961958921,25.4598681668444,1.57678296968084,50.9197363336888
doctor-think,90.757570145565,4.72484148540184,-181.51514029113,22.841233661359,1.44493210756514,45.682467322718
driver-regret,49.0282482859667,5.40262295172836,-98.0564965719334,24.4722107305781,2.0536688621973,48.9444214611561
economist-mislead,23.3689268328259,2.66456140833129,-46.7378536656518,14.5003906263579,0.610952948923494,29.0007812527157
electrician-disprove,125.438215852357,2.88832599381294,-250.876431704714,24.4769653149236,0.773000907868074,48.9539306298472
