"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[1,1]",-2.01285570484657,0.000919469327042854,0.181582475812628,-2.37694021506286,-2.13547776149543,-2.00853822738891,-1.88907058748653,-1.66469829492232,39000.7873337332,0.999869272653425,"accountant-know"
"B_s[1,2]",1.41560265235797,0.000969578912086571,0.167615521330564,1.08832011376297,1.30235931909585,1.41474383816194,1.52742264333306,1.74869654094454,29885.6111838446,0.999873750027979,"actor-hate"
"B_s[1,3]",-2.22673056613626,0.000945343431025272,0.182594861377811,-2.59370008880979,-2.3486159145518,-2.22370638941264,-2.1018033770667,-1.87588076237744,37307.6489230976,1.00011932792692,"analyst-notify"
"B_s[1,4]",1.56481684127068,0.00110027758086625,0.188618492654223,1.20304889637672,1.43664568692236,1.5612519888541,1.69160644376572,1.94335245442469,29387.5926886327,0.999998719602125,"assistant-wish"
"B_s[1,5]",2.20174164045494,0.000966196511539658,0.181214898811459,1.85311756406736,2.07715706392885,2.1984229941584,2.32147654039896,2.56727356826642,35176.8438952474,0.999848854578057,"baker-know"
"B_s[1,6]",1.60989064087706,0.000835730412460877,0.152373304440818,1.31181002345307,1.50617271352076,1.60828595334348,1.71213038043933,1.91360095463928,33241.8632704964,0.999908071478631,"basketball player-hate"
"B_s[1,7]",2.02233488594933,0.000848321577641657,0.165820258556526,1.70477739067783,1.90907327003737,2.01880047999294,2.13298428861099,2.35268563914724,38207.9862244463,0.999909743108464,"batter-worry"
"B_s[1,8]",1.62378116205974,0.00107329839071792,0.185832263264541,1.26842586158351,1.4955001385112,1.62062399541325,1.74815198381425,1.99592959825203,29977.9047996207,0.999948524594412,"bookkeeper-lie"
"B_s[1,9]",-1.33010200270442,0.00112972972737144,0.189945585101017,-1.71170038052645,-1.45408919186881,-1.32667441099332,-1.2000707265471,-0.96622082859906,28268.9250137625,0.99991687467257,"boss-tell"
"B_s[1,10]",2.13972968446089,0.000944468515131469,0.177386685461415,1.80431486625613,2.01818997649879,2.13604921141834,2.25707994769019,2.50101326779495,35275.0037027771,0.999919127778719,"bouncer-dissuade"
"B_s[1,11]",-2.24319677272547,0.000953127199085709,0.18232437275583,-2.60909924873186,-2.36300863473409,-2.2402511788931,-2.11838319812194,-1.89497169743691,36592.1333730647,0.999929940340841,"bricklayer-complain"
"B_s[1,12]",-2.06697262696059,0.000810666018403967,0.15962902267316,-2.38664421712108,-2.17300929107586,-2.06634005358965,-1.9566027915802,-1.7598398900983,38773.9255608016,0.999900995625395,"businesswoman-boast"
"B_s[1,13]",-2.12235650725313,0.000856172563083124,0.159296863801129,-2.44279951076264,-2.22913633972959,-2.12020088017667,-2.01354360506076,-1.81673116075085,34617.1921377736,0.999935709796414,"chef-love"
"B_s[1,14]",-1.77467463181956,0.00102465091567538,0.182005624695289,-2.14005134756852,-1.89601829418902,-1.77261205785207,-1.65058117833985,-1.42778441611039,31551.3360460595,0.999924258263571,"chemist-lie"
"B_s[1,15]",2.62076185970936,0.000923238569450891,0.187327365763166,2.26301013862336,2.49317904877683,2.61708384722649,2.74494911708731,2.99681551147938,41169.4033751903,0.999909086904313,"child-apologize"
"B_s[1,16]",-1.65175793616743,0.00107296919701385,0.186594458194738,-2.02424465595462,-1.77628223072481,-1.65001867876292,-1.52492673699671,-1.29560310112138,30242.8679820397,0.999969833118416,"clerk-apologize"
"B_s[1,17]",-2.35974873531523,0.000858070749284479,0.165630121729448,-2.69469131868717,-2.46956358655335,-2.35645565752334,-2.24719903016317,-2.03918775920213,37259.1074365279,0.99988363676946,"climber-like"
"B_s[1,18]",-2.26884184975,0.000927911495414246,0.178848740869827,-2.63223902164079,-2.3863442370936,-2.26491040153447,-2.14610334513632,-1.92864626688828,37149.986813675,0.999937432900485,"coach-congratulate"
"B_s[1,19]",1.56514326519369,0.00109539557890043,0.189452972771553,1.20058762766469,1.43652976690183,1.56144067168999,1.69275374449901,1.94225831148369,29913.0626906717,1.00013999130913,"concierge-convince"
"B_s[1,20]",2.1258685984659,0.000965133556829189,0.181470663503413,1.7758364077167,2.00245808264168,2.12307971104863,2.24688739190887,2.48776501597948,35353.9564342307,0.999893039511329,"conductor-congratulate"
"B_s[1,21]",1.69479582749775,0.000858302550381355,0.152291541408239,1.39648758099414,1.59199469447244,1.69338893001849,1.79655694905367,1.99533957279916,31482.6121241244,0.999970320444493,"congresswoman-regret"
"B_s[1,22]",2.26048348345472,0.000952768131376025,0.179832670922313,1.92018398372926,2.13779460832482,2.25654286495697,2.37778671589716,2.62677368473634,35625.6457164394,0.999946872683286,"contractor-mislead"
"B_s[1,23]",-1.86566219475607,0.00100996264776168,0.183242711631626,-2.23224392634636,-1.98693963149859,-1.86397769919541,-1.74111361814858,-1.51519968180133,32918.7090352544,0.99999150680165,"coroner-persuade"
"B_s[1,24]",1.71589731792207,0.0010289663395158,0.185481959390921,1.36359505616324,1.5871081659763,1.71259107211018,1.84057677305698,2.09056786321152,32493.8382413596,0.999967732771091,"curator-like"
"B_s[1,25]",-2.38656457167227,0.000933700370377152,0.179382222324265,-2.74922841518734,-2.50511732295674,-2.38163031571495,-2.26299116436016,-2.04999641508566,36909.9738924931,0.999907485859812,"cyclist-think"
"B_s[1,26]",1.90932435126915,0.00100478579667789,0.181468200704151,1.55686505574276,1.78614603087226,1.90598496627868,2.0312417012815,2.27114655398699,32617.7568894724,0.999944340486034,"dancer-boast"
"B_s[1,27]",-2.39784658617898,0.000927365059158745,0.180123639417964,-2.75663907272783,-2.51559055911281,-2.39472488899858,-2.27468082493366,-2.05268984926547,37725.9312751703,0.999887313082112,"daughter-convince"
"B_s[1,28]",0.697387786067057,0.00127032556664029,0.196009325361466,0.321430747042616,0.564405742425654,0.696367545108556,0.828011816676568,1.08546376471261,23808.0261104305,0.999942421166668,"defendant-hope"
