"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","verb"
"B_v[1,1]",-1.81363734627012,0.00748392140181585,0.286858752564404,-2.36769437223132,-2.00655708981648,-1.81637080533394,-1.62315728786129,-1.24096911701021,1469.18936333289,1.00739525991753,"apologize"
"B_v[1,2]",1.87192271424241,0.00766373548384007,0.292711888690431,1.29931402497477,1.67478945432669,1.86819969279423,2.0652121710079,2.45415007142222,1458.81328905302,1.00766681361162,"boast"
"B_v[1,3]",-1.84101986367467,0.00758255557193342,0.287099900662125,-2.39872497069108,-2.03444876174714,-1.84137191764475,-1.64835011556516,-1.27545838908935,1433.62273846983,1.00788631305171,"complain"
"B_v[1,4]",1.48697282472912,0.0075386876153505,0.289900777982094,0.934542673880758,1.28897749098598,1.48424714748895,1.68165670423599,2.06805633373609,1478.79259260374,1.00724090382311,"congratulate"
"B_v[1,5]",-0.082021747346882,0.00750673615706677,0.288630804612382,-0.636860379275679,-0.27731621602584,-0.0822958578298787,0.108793684422868,0.498646948896798,1478.36971253633,1.00735844163102,"convince"
"B_v[1,6]",0.227831014869086,0.00754124505841336,0.288544237259704,-0.330394176987102,0.0331494421165367,0.224074986420221,0.420853249180571,0.799381536442098,1463.9919972807,1.00815550636041,"disprove"
"B_v[1,7]",-0.0878412467028725,0.00755717071212845,0.289092896239779,-0.649615631991019,-0.283408431791638,-0.0879100299861315,0.102425167174046,0.494637651056247,1463.37750418986,1.00725506426333,"dissuade"
"B_v[1,8]",-0.634720692703916,0.00756537934154747,0.288564358289404,-1.19355780640617,-0.828359392030905,-0.635023011988243,-0.44226053861941,-0.0600996853689542,1454.86923044016,1.00744087137274,"doubt"
"B_v[1,9]",-2.37259076399721,0.00747041144448788,0.286830829907957,-2.93054366521159,-2.56450322605411,-2.37511691053456,-2.18261239596273,-1.80402083721861,1474.22107399177,1.00661833736393,"fear"
"B_v[1,10]",-2.65630581791369,0.00761912089034797,0.289174908292751,-3.21904269842695,-2.85111105561639,-2.65889560978295,-2.46523356281888,-2.07687144543965,1440.49410105713,1.00699893635718,"hate"
"B_v[1,11]",2.25842322774873,0.00748301981934129,0.287314192740918,1.70078555976067,2.06463683729555,2.25477771272561,2.44943856361591,2.83064605670604,1474.21344810104,1.00699420213057,"hope"
"B_v[1,12]",0.358404714336806,0.00762100086959401,0.287753220518999,-0.200711266131499,0.165643217148544,0.355700848732489,0.550077426644911,0.930461944065523,1425.66130914683,1.00740715012279,"know"
"B_v[1,13]",-0.0785430484783605,0.00753888078980371,0.289821738029607,-0.6358649689692,-0.273686866501938,-0.0820091962632288,0.11374428156277,0.496862767467166,1477.91059002133,1.00729814430919,"lie"
"B_v[1,14]",2.167108087938,0.00753415926193122,0.289976702165929,1.60295296635209,1.97300711974411,2.16414113303388,2.36015244806389,2.74551089950743,1481.34637863043,1.00692160959748,"like"
"B_v[1,15]",2.45787033610863,0.00752736030942311,0.288542149708605,1.898325257735,2.26272940421395,2.45605109072683,2.64781918702158,3.02654510516009,1469.37659075918,1.00705805228238,"love"
"B_v[1,16]",0.392443005727275,0.00750115600703425,0.289904537497324,-0.173734767293094,0.198438260565982,0.390773978201677,0.583872996818618,0.968488563424619,1493.66646278054,1.00722615714212,"mislead"
"B_v[1,17]",0.0959055269843662,0.00757297712987537,0.288186375464923,-0.463456376635488,-0.0975140023357186,0.0953541576379933,0.287777409769808,0.672351068760864,1448.15016891888,1.0072632103362,"notify"
"B_v[1,18]",-0.128345228846892,0.0075330920569883,0.28694751712213,-0.685029889600512,-0.323390381874651,-0.130948490951021,0.0614338338722857,0.443703689004769,1450.96986641268,1.007507886048,"persuade"
"B_v[1,19]",-2.40153338891335,0.00758129724779462,0.289057811400023,-2.95982741468767,-2.59425783015332,-2.40326192247221,-2.21034267094044,-1.82834000166631,1453.72537297377,1.00732398023671,"regret"
"B_v[1,20]",0.231392207485063,0.00749044435878832,0.28669256864945,-0.320039963540675,0.0396294230973191,0.229243429275577,0.420239769269396,0.8032949480247,1464.9328131702,1.00780123612787,"remember"
"B_v[1,21]",0.19239069546328,0.00752863552026127,0.286756178767241,-0.360500052024709,0.000216332432484354,0.192800574970636,0.380379867690758,0.768670210892405,1450.75148624745,1.00706527618838,"tell"
"B_v[1,22]",0.326413858207979,0.00755121305643114,0.288110929607353,-0.229325778215464,0.133389193696852,0.323120405819915,0.516124204736195,0.898785002857766,1455.74738775907,1.00738000197489,"think"
"B_v[1,23]",2.45129960506077,0.00757781994243339,0.288970105409474,1.89078781364321,2.25856356418325,2.44900245883576,2.64197828386057,3.0262038858754,1454.17699303904,1.00739232161016,"wish"
"B_v[1,24]",-1.95972124195011,0.00751150707432348,0.289685659775743,-2.51785702637783,-2.15570501063989,-1.96193470089292,-1.76621780218442,-1.38294504928336,1487.30429733822,1.00719681572637,"worry"
"B_v[2,1]",1.5490738618862,0.0104441045163205,0.414132550826725,0.733087693065319,1.2720701459223,1.5532150218482,1.83140100441797,2.35483716009375,1572.3032651297,1.00672413076957,"apologize"
"B_v[2,2]",-1.84869391871345,0.0108408324241403,0.417572371982716,-2.6836077711061,-2.12254997581312,-1.84451175270847,-1.56788325439329,-1.03999210227259,1483.67319541588,1.00767033520841,"boast"
"B_v[2,3]",2.42915225208644,0.0107563186510054,0.413202446424775,1.61599715190054,2.15128791941904,2.43092024355782,2.7092976549248,3.21991748730028,1475.70126404415,1.0079096151186,"complain"
"B_v[2,4]",-0.727771713850506,0.0106706072600158,0.416601625873984,-1.55567832193166,-1.00664635283838,-0.725835186865792,-0.445867584396784,0.0749095153801787,1524.27613383137,1.00731799143896,"congratulate"
"B_v[2,5]",-0.0586440097247828,0.0106626785816726,0.412770552458272,-0.878363810295601,-0.334791242579104,-0.0538071281693349,0.217749588090081,0.743614291954767,1498.59671898912,1.00752111140635,"convince"
"B_v[2,6]",0.393069709144672,0.0104834052382998,0.413038683615623,-0.425530193017062,0.115862112803081,0.395994682297407,0.674294434901007,1.19522915390069,1552.30375518369,1.00792675145335,"disprove"
